phone,class
12346,"CS 30700"
12346,"CS 44800"
123456789,"CS 30700"
123456789,"STAT 35000"
123456789,"ENTR 20000"
123456789,"CS 35400"
123456,"CS 30700"
123456,"CS 35400"
123456,"STAT 35000"
123456,"ENTR 20000"
jeremy,"CS 42200"
jeremy,"PES 11500"
jeremy,"CS 37300"
jeremy2,"CS 37300"
jeremy2,"PES 11500"
jeremy2,"CS 42200"
nate,"COM 21700"
nate,"CS 42600"
nate,"PSY 35000"
nate,"EAPS 11200"
nate,"CS 34800"
nate,"PSY 20000"
jeremy3,"CS 37300"
jeremy3,"PES 11500"
jeremy3,"CS 42200"
jeremy4,"PES 11500"
jeremy4,"CS 37300"
jeremy4,"CS 42200"
nate2,"CS 42600"
nate2,"COM 21700"
nate2,"PSY 35000"
nate2,"EAPS 11200"
nate2,"PSY 20000"
nate2,"CS 34800"
jeremy5,"PES 11500"
jeremy5,"CS 37300"
jeremy5,"CS 42200"
nate3,"PSY 35000"
nate3,"CS 42600"
nate3,"EAPS 11200"
nate3,"CS 34800"
nate3,"COM 21700"
nate3,"PSY 20000"
jeremy6,"CS 37300"
jeremy6,"CS 42200"
jeremy6,"PES 11500"
